u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,junction,access,width,tunnel,bridge
4621501066,4621501070,0,467542260,tertiary,1,20 mph,Portland Street,True,,False,23.95165937466213,"LINESTRING (429795.407669434 433959.63926519477, 429793.5396200553 433962.3533651475, 429790.988434511 433964.77384539053, 429787.7665799878 433967.0120496589, 429785.08054703666 433968.8864861982, 429775.2676660803 433970.7935994705)",,,,,
44977061,342660327,0,"[27767032, 1128312803, 23000472]",unclassified,1,20 mph,"['Cookridge Street', 'Rossington Street']",True,,False,183.67993249100095,"LINESTRING (429912.1500957699 433933.45591371064, 429909.83787022356 433956.2502067328, 429909.43529470597 433961.5437863831, 429908.8249175598 433969.4729881304, 429908.2356479049 433977.1909237767, 429925.2410098568 433981.4939350813, 429970.0262686386 433993.3399326877, 430002.200000457 434002.8359630286, 430033.9101103276 434011.6839210212, 430038.1244760446 434012.8680283007, 430043.21619518875 434014.86997866177)",,,,,
44977061,247352905,0,583053004,tertiary,2,30 mph,Great George Street,True,,False,91.33917543392576,"LINESTRING (429912.1500957699 433933.45591371064, 429971.15827422123 433940.8641394513, 429977.2925364186 433941.55976313143, 430003.11461111397 433944.2392878999)",,,,,
10981685393,9791509,0,1396455638,unclassified,2,30 mph,Calverley Street,False,,False,37.6555817804726,"LINESTRING (429796.1251494 433886.031880531, 429796.1575926789 433890.2600996295, 429795.95583791006 433906.48103831767, 429795.7099643872 433915.1246523571, 429795.46451520995 433923.7015111047)",,,,,
9791529,298186506,0,4596953,tertiary,,20 mph,Portland Way,False,,True,40.74124150244646,"LINESTRING (429780.7694676407 434121.01200917293, 429785.00448429614 434126.201507407, 429789.8127096791 434132.396019169, 429799.7579826562 434143.8191526629, 429807.0550139317 434152.21024880325)",,,,,
9791529,48930592,0,23041409,unclassified,2,20 mph,Calverley Street,False,,False,32.268318813424955,"LINESTRING (429780.7694676407 434121.01200917293, 429775.7160850705 434132.69600282947, 429766.39270046074 434149.90497368993)",,,,,
9791529,54568263,0,"[609729545, 609729546, 31958494]",tertiary,,20 mph,Calverley Street,False,,True,141.81199523761484,"LINESTRING (429780.7694676407 434121.01200917293, 429786.798643649 434103.98243648943, 429789.03652535303 434097.98840638204, 429791.4601197284 434085.56452348665, 429793.8865321843 434071.6608548227, 429796.2492123344 434053.27286265336, 429796.0216487152 434036.20359253394, 429795.5188704701 433999.19415235275, 429795.5077036498 433992.65178633865, 429795.4942580468 433985.43069844355, 429795.48851436964 433981.1470164411)",,,,,
298186506,9791529,0,4596953,tertiary,,20 mph,Portland Way,False,,False,40.74124150244646,"LINESTRING (429807.0550139317 434152.21024880325, 429799.7579826562 434143.8191526629, 429789.8127096791 434132.396019169, 429785.00448429614 434126.201507407, 429780.7694676407 434121.01200917293)",,,,,
298186506,21545961,0,"[32073107, 236290811]",tertiary,2,20 mph,Portland Way,False,,False,116.888326767922,"LINESTRING (429807.0550139317 434152.21024880325, 429819.09552403446 434167.6410914039, 429841.8996732743 434196.2583574591, 429844.69625361625 434199.76981352235, 429858.6004853601 434217.2598612484, 429880.1008506662 434243.68826082407)",,,,,
48930592,9791529,0,23041409,unclassified,2,20 mph,Calverley Street,False,,True,32.268318813424955,"LINESTRING (429766.39270046074 434149.90497368993, 429775.7160850705 434132.69600282947, 429780.7694676407 434121.01200917293)",,,,,
