osmid,y,x,street_count,highway,junction,geometry
298186506,434152.21024880325,429807.0550139317,3,,,POINT (429807.0550139317 434152.21024880325)
48930592,434149.90497368993,429766.39270046074,3,,,POINT (429766.39270046074 434149.90497368993)
54568263,433981.1470164411,429795.48851436964,3,,,POINT (429795.48851436964 433981.1470164411)
9791699,433736.7997562917,430630.2738261808,3,,,POINT (430630.2738261808 433736.7997562917)
342579578,433748.63405978924,430631.34272314416,3,,,POINT (430631.34272314416 433748.63405978924)
9791722,433827.57299785095,430637.7568967495,3,,,POINT (430637.7568967495 433827.57299785095)
26298425,433828.803517592,430599.53903946496,3,,,POINT (430599.53903946496 433828.803517592)
26298435,433928.64410039515,430663.1868373991,3,,,POINT (430663.1868373991 433928.64410039515)
9792428,433096.07994048856,429949.4362923231,3,,,POINT (429949.4362923231 433096.07994048856)
52889936,433292.96397120063,429970.8942362981,2,,,POINT (429970.8942362981 433292.96397120063)
9823073,433776.68334728584,430946.8143695572,3,motorway_junction,,POINT (430946.8143695572 433776.68334728584)
1152092910,433801.59253116336,430833.11330218706,3,,,POINT (430833.11330218706 433801.59253116336)
370191920,433859.36703814345,430682.96483749076,3,motorway_junction,,POINT (430682.96483749076 433859.36703814345)
3381506666,433845.9403615572,430805.71095217887,4,,,POINT (430805.71095217887 433845.9403615572)
1591373192,433869.15886701713,430803.6747728833,3,,,POINT (430803.6747728833 433869.15886701713)
9823138,434108.0588417138,430846.8745860937,4,,yes,POINT (430846.8745860937 434108.0588417138)
8674727247,434181.1889888552,430858.18338933785,3,,,POINT (430858.18338933785 434181.1889888552)
52162260,434122.2328939587,430770.45214520325,3,,,POINT (430770.45214520325 434122.2328939587)
9823212,434254.00657231023,430879.4785136505,4,,,POINT (430879.4785136505 434254.00657231023)
304904881,434256.4228341727,430869.6097068874,4,,,POINT (430869.6097068874 434256.4228341727)
395469503,434185.9732452341,430870.0138027165,4,,,POINT (430870.0138027165 434185.9732452341)
21099337,434423.4133301714,430031.92116272927,3,motorway_junction,,POINT (430031.92116272927 434423.4133301714)
21099339,434277.01357085805,430319.35429524304,3,,,POINT (430319.35429524304 434277.01357085805)
4621500996,434413.30501199164,430242.45243971515,3,,,POINT (430242.45243971515 434413.30501199164)
52162730,434150.8234544224,430368.3416842414,3,motorway_junction,,POINT (430368.3416842414 434150.8234544224)
21545941,434532.70561596565,429881.6921901492,3,,,POINT (429881.6921901492 434532.70561596565)
21545948,434319.06147312187,429919.0386014102,3,,,POINT (429919.0386014102 434319.06147312187)
21545949,434292.6800117645,429922.3944329869,4,,,POINT (429922.3944329869 434292.6800117645)
21545957,434398.7678380945,429972.64726027765,3,,,POINT (429972.64726027765 434398.7678380945)
298186520,434283.5188551522,429923.48685340286,3,,,POINT (429923.48685340286 434283.5188551522)
664212051,434325.38441900804,429854.88310910965,3,,,POINT (429854.88310910965 434325.38441900804)
21545961,434243.68826082407,429880.1008506662,3,,,POINT (429880.1008506662 434243.68826082407)
21545962,434274.8072132014,429897.3428020027,4,,,POINT (429897.3428020027 434274.8072132014)
21545963,434227.27327847236,429951.1122438195,3,,,POINT (429951.1122438195 434227.27327847236)
52732399,434238.8677421919,430123.3655144455,3,,,POINT (430123.3655144455 434238.8677421919)
52732230,434199.07043237216,429974.15958913503,4,,,POINT (429974.15958913503 434199.07043237216)
26296951,433899.81760208076,430334.6940985008,3,,yes,POINT (430334.6940985008 433899.81760208076)
52167638,433904.0613468535,430338.8491989864,3,,,POINT (430338.8491989864 433904.0613468535)
26296956,433922.11601179617,430362.4114359238,3,,yes,POINT (430362.4114359238 433922.11601179617)
52350428,433935.73635177605,430393.61631689203,3,,,POINT (430393.61631689203 433935.73635177605)
10624200323,433968.60708146275,430431.9282925816,4,,,POINT (430431.9282925816 433968.60708146275)
26298420,433686.92692864686,430689.21666127595,3,,yes,POINT (430689.21666127595 433686.92692864686)
1022749752,433668.20546612586,430693.26490221056,3,,,POINT (430693.26490221056 433668.20546612586)
7275677007,433719.02966789564,430412.7448430089,3,,yes,POINT (430412.7448430089 433719.02966789564)
4540786888,433694.18967509083,430637.69211949094,3,,,POINT (430637.69211949094 433694.18967509083)
26298424,433834.389932335,430570.6592156106,3,,,POINT (430570.6592156106 433834.389932335)
26298426,433850.6370427394,430483.8061386816,3,,,POINT (430483.8061386816 433850.6370427394)
342579616,433823.2070513646,430481.5537508964,2,,,POINT (430481.5537508964 433823.2070513646)
26298428,433750.8283910499,430472.7296614031,3,,,POINT (430472.7296614031 433750.8283910499)
342529332,433757.58468823566,430431.9658237903,1,,,POINT (430431.9658237903 433757.58468823566)
26298429,433734.2100355462,430557.2815469745,3,,,POINT (430557.2815469745 433734.2100355462)
26298430,433728.90407742467,430588.23501791316,3,,,POINT (430588.23501791316 433728.90407742467)
342579576,433754.00141476083,430591.0750941425,3,,,POINT (430591.0750941425 433754.00141476083)
2014304918,433724.8458466785,430607.4557211205,3,,,POINT (430607.4557211205 433724.8458466785)
26298434,433966.3497965225,430673.1628840412,3,,,POINT (430673.1628840412 433966.3497965225)
52167611,433974.85349022143,430675.3467452304,3,,,POINT (430675.3467452304 433974.85349022143)
26298438,433937.88863285223,430817.56279899366,3,,,POINT (430817.56279899366 433937.88863285223)
304904904,433971.4800642036,430517.98284673464,3,,,POINT (430517.98284673464 433971.4800642036)
8674724116,434040.1060378121,430836.10442046874,3,,,POINT (430836.10442046874 434040.1060378121)
26298440,433894.8807327759,430855.8371248155,3,,,POINT (430855.8371248155 433894.8807327759)
26298445,433897.77834080905,430819.3015599393,4,,,POINT (430819.3015599393 433897.77834080905)
395471671,433993.130635833,430883.5133809388,3,,,POINT (430883.5133809388 433993.130635833)
26298441,433879.194841751,430876.49074299104,3,,,POINT (430876.49074299104 433879.194841751)
