reference_number,accident_date,easting,northing,time_24hr,year,source_file,accident_uid,selected_area_name
130173096,2013-04-27,430422,433331,322,2013,2013.csv,2013_130173096,leeds_central_selected_box
130174360,2013-04-27,430628,433450,1300,2013,2013.csv,2013_130174360,leeds_central_selected_box
130186179,2013-05-01,429915,434257,1740,2013,2013.csv,2013_130186179,leeds_central_selected_box
130215465,2013-05-24,429986,433393,1630,2013,2013.csv,2013_130215465,leeds_central_selected_box
130216788,2013-05-25,430379,433555,1615,2013,2013.csv,2013_130216788,leeds_central_selected_box
130220341,2013-05-28,430409,433685,1350,2013,2013.csv,2013_130220341,leeds_central_selected_box
130223696,2013-05-30,430796,433453,2220,2013,2013.csv,2013_130223696,leeds_central_selected_box
130235998,2013-06-08,429883,433507,1550,2013,2013.csv,2013_130235998,leeds_central_selected_box
130248823,2013-06-16,430616,434203,1830,2013,2013.csv,2013_130248823,leeds_central_selected_box
130251500,2013-06-18,430851,434073,1720,2013,2013.csv,2013_130251500,leeds_central_selected_box
130264387,2013-06-27,430429,434305,755,2013,2013.csv,2013_130264387,leeds_central_selected_box
130271035,2013-06-29,430635,433451,1915,2013,2013.csv,2013_130271035,leeds_central_selected_box
130283363,2013-07-09,430311,433394,1034,2013,2013.csv,2013_130283363,leeds_central_selected_box
130292784,2013-07-16,430826,433935,840,2013,2013.csv,2013_130292784,leeds_central_selected_box
130299853,2013-07-20,430401,433440,1751,2013,2013.csv,2013_130299853,leeds_central_selected_box
130301645,2013-07-21,430066,433783,1340,2013,2013.csv,2013_130301645,leeds_central_selected_box
130305039,2013-07-24,430378,433500,848,2013,2013.csv,2013_130305039,leeds_central_selected_box
130305349,2013-07-24,430444,433457,1154,2013,2013.csv,2013_130305349,leeds_central_selected_box
130305402,2013-07-24,430852,434104,1154,2013,2013.csv,2013_130305402,leeds_central_selected_box
130311517,2013-07-28,429902,433930,1600,2013,2013.csv,2013_130311517,leeds_central_selected_box
130318592,2013-08-02,430422,433978,1,2013,2013.csv,2013_130318592,leeds_central_selected_box
130319248,2013-08-02,430727,433586,1735,2013,2013.csv,2013_130319248,leeds_central_selected_box
130322559,2013-08-05,430862,434174,1015,2013,2013.csv,2013_130322559,leeds_central_selected_box
130339961,2013-08-16,430375,433502,1520,2013,2013.csv,2013_130339961,leeds_central_selected_box
130344763,2013-08-20,430785,433826,1810,2013,2013.csv,2013_130344763,leeds_central_selected_box
130351121,2013-08-24,430030,434089,1620,2013,2013.csv,2013_130351121,leeds_central_selected_box
130354156,2013-08-24,430417,433712,1500,2013,2013.csv,2013_130354156,leeds_central_selected_box
130360317,2013-08-31,430142,433773,1450,2013,2013.csv,2013_130360317,leeds_central_selected_box
130369499,2013-09-06,430564,433695,1640,2013,2013.csv,2013_130369499,leeds_central_selected_box
130372907,2013-09-09,430059,433985,1335,2013,2013.csv,2013_130372907,leeds_central_selected_box
130385588,2013-09-18,430192,434346,936,2013,2013.csv,2013_130385588,leeds_central_selected_box
130390101,2013-09-20,430302,433386,2015,2013,2013.csv,2013_130390101,leeds_central_selected_box
130393218,2013-09-23,430055,433648,1600,2013,2013.csv,2013_130393218,leeds_central_selected_box
130399685,2013-09-27,430294,433813,2221,2013,2013.csv,2013_130399685,leeds_central_selected_box
130419694,2013-10-11,430438,433615,1213,2013,2013.csv,2013_130419694,leeds_central_selected_box
130421771,2013-10-12,430859,434151,2200,2013,2013.csv,2013_130421771,leeds_central_selected_box
130422639,2013-10-13,430233,433394,1,2013,2013.csv,2013_130422639,leeds_central_selected_box
130425080,2013-10-14,429866,434308,1435,2013,2013.csv,2013_130425080,leeds_central_selected_box
130431414,2013-10-19,430577,433451,1440,2013,2013.csv,2013_130431414,leeds_central_selected_box
130432851,2013-10-20,430104,433928,215,2013,2013.csv,2013_130432851,leeds_central_selected_box
130433931,2013-10-21,430456,433682,1325,2013,2013.csv,2013_130433931,leeds_central_selected_box
130437362,2013-10-22,430884,433481,2250,2013,2013.csv,2013_130437362,leeds_central_selected_box
130438231,2013-10-24,430311,433522,1024,2013,2013.csv,2013_130438231,leeds_central_selected_box
130462441,2013-11-09,430798,433443,720,2013,2013.csv,2013_130462441,leeds_central_selected_box
130466550,2013-11-12,430378,433543,1120,2013,2013.csv,2013_130466550,leeds_central_selected_box
130468091,2013-11-13,429796,433969,1118,2013,2013.csv,2013_130468091,leeds_central_selected_box
130479887,2013-10-19,430331,433897,2245,2013,2013.csv,2013_130479887,leeds_central_selected_box
130481380,2013-11-22,430531,433390,1240,2013,2013.csv,2013_130481380,leeds_central_selected_box
130483251,2013-11-23,430007,433379,1730,2013,2013.csv,2013_130483251,leeds_central_selected_box
130483548,2013-11-24,430534,433295,315,2013,2013.csv,2013_130483548,leeds_central_selected_box
130490312,2013-11-28,430182,434363,1601,2013,2013.csv,2013_130490312,leeds_central_selected_box
130490436,2013-11-23,430817,433935,1720,2013,2013.csv,2013_130490436,leeds_central_selected_box
130491088,2013-11-29,430400,433724,750,2013,2013.csv,2013_130491088,leeds_central_selected_box
130500592,2013-12-04,429853,433527,1800,2013,2013.csv,2013_130500592,leeds_central_selected_box
130503805,2013-12-08,430816,433877,1100,2013,2013.csv,2013_130503805,leeds_central_selected_box
130508944,2013-12-11,430510,433452,1752,2013,2013.csv,2013_130508944,leeds_central_selected_box
130509374,2013-12-12,429936,434301,710,2013,2013.csv,2013_130509374,leeds_central_selected_box
130511558,2013-12-04,430009,433379,830,2013,2013.csv,2013_130511558,leeds_central_selected_box
130518805,2013-12-18,430065,433785,1620,2013,2013.csv,2013_130518805,leeds_central_selected_box
130518861,2013-12-11,430372,433492,1015,2013,2013.csv,2013_130518861,leeds_central_selected_box
130524020,2013-12-21,430354,433430,1630,2013,2013.csv,2013_130524020,leeds_central_selected_box
130524404,2013-12-22,430724,433756,1705,2013,2013.csv,2013_130524404,leeds_central_selected_box
130526621,2013-12-24,430416,433774,1135,2013,2013.csv,2013_130526621,leeds_central_selected_box
130528890,2013-12-23,430215,434366,1200,2013,2013.csv,2013_130528890,leeds_central_selected_box
130530179,2013-12-27,430414,433717,1300,2013,2013.csv,2013_130530179,leeds_central_selected_box
130530777,2013-12-28,429796,433922,1300,2013,2013.csv,2013_130530777,leeds_central_selected_box
12M0822,2014-02-22,430373,433481,1245,2014,2014.csv,2014_12M0822,leeds_central_selected_box
12N1843,2014-02-23,429804,433477,2303,2014,2014.csv,2014_12N1843,leeds_central_selected_box
12O0439,2014-02-24,430066,433771,1036,2014,2014.csv,2014_12O0439,leeds_central_selected_box
12O1421,2014-02-24,430634,433453,1835,2014,2014.csv,2014_12O1421,leeds_central_selected_box
12R0675,2014-02-27,430717,434135,1300,2014,2014.csv,2014_12R0675,leeds_central_selected_box
1371450,2014-03-07,430393,433628,1756,2014,2014.csv,2014_1371450,leeds_central_selected_box
13A0340,2014-03-10,430373,433501,904,2014,2014.csv,2014_13A0340,leeds_central_selected_box
13A0504,2014-03-10,430417,433473,1033,2014,2014.csv,2014_13A0504,leeds_central_selected_box
13D1532,2014-03-13,430122,433931,1931,2014,2014.csv,2014_13D1532,leeds_central_selected_box
