editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
October wind,6,1.0,1.0,0.03125,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4376446713986688,108,lower
Sergey kudryavtsev,6,1.0,1.0,0.03125,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4376446713986688,109,lower
Visite fortuitement prolongée,6,1.0,1.0,0.03125,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4376446713986688,110,lower
Periglio,5,1.0,1.0,0.046875,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.43663229809987075,111,lower
LT910001,6,1.0,1.0,0.03125,1.0,4,0.017543859649122806,1,{'Pasleim': 1},0.27233044286743946,0.0380952380952381,0.053299916457811194,0.4343780614082008,112,lower
-jkb-,6,1.0,1.0,0.015625,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4337384213986688,113,lower
129.13.72.196,6,1.0,1.0,0.015625,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4337384213986688,114,lower
85.212.52.233,6,1.0,1.0,0.015625,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4337384213986688,115,lower
Caliburn,6,1.0,1.0,0.015625,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4337384213986688,116,lower
Charles Matthews,6,1.0,1.0,0.015625,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4337384213986688,117,lower
Fractaler,6,1.0,1.0,0.015625,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4337384213986688,118,lower
Jsamwrites,6,1.0,1.0,0.015625,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4337384213986688,119,lower
Yurik,6,1.0,1.0,0.015625,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4337384213986688,120,lower
Максим Підліснюк,6,1.0,1.0,0.015625,1.0,5,0.022026431718061675,1,{'Pasleim': 1},0.27233044286743946,0.047619047619047616,0.06691839731487309,0.4337384213986688,121,lower
Mad melone,7,1.0,1.0,0.015625,1.0,4,0.017467248908296942,1,{'Pasleim': 1},0.30135801169302334,0.0380952380952381,0.053067165730921184,0.43189991477679096,122,lower
Dr Zimbu,4,1.0,1.0,0.046875,1.0,3,0.013215859030837005,1,{'Pasleim': 1},0.19918681113820094,0.02857142857142857,0.04015103838892385,0.43140748011008817,123,lower
Hym411,6,1.0,1.0,0.015625,1.0,4,0.017543859649122806,1,{'Pasleim': 1},0.27233044286743946,0.0380952380952381,0.053299916457811194,0.4304718114082008,124,lower
JesseW,6,1.0,1.0,0.015625,1.0,4,0.017543859649122806,1,{'Pasleim': 1},0.27233044286743946,0.0380952380952381,0.053299916457811194,0.4304718114082008,125,lower
Mbch331,6,1.0,1.0,0.015625,1.0,4,0.017543859649122806,1,{'Pasleim': 1},0.27233044286743946,0.0380952380952381,0.053299916457811194,0.4304718114082008,126,lower
Alphos,5,1.0,1.0,0.015625,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.42881979809987075,127,lower
Anonymous_username_44,5,1.0,1.0,0.015625,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.42881979809987075,128,lower
Blackcat,5,1.0,1.0,0.015625,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.42881979809987075,129,lower
Jason.nlw,5,1.0,1.0,0.015625,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.42881979809987075,130,lower
John Cummings,5,1.0,1.0,0.015625,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.42881979809987075,131,lower
Paperoastro,5,1.0,1.0,0.015625,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.42881979809987075,132,lower
Robby,5,1.0,1.0,0.015625,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.42881979809987075,133,lower
Robin van der Vliet,5,1.0,1.0,0.015625,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.42881979809987075,134,lower
Syced,5,1.0,1.0,0.015625,1.0,4,0.01762114537444934,1,{'Pasleim': 1},0.2388205739126649,0.0380952380952381,0.05353471785189847,0.42881979809987075,135,lower
Laboramus,7,1.0,1.0,0.015625,1.0,3,0.013043478260869565,1,{'Pasleim': 1},0.30135801169302334,0.02857142857142857,0.03962732919254658,0.4286511692181916,136,lower
Msmarmalade,4,1.0,1.0,0.03125,1.0,3,0.013215859030837005,1,{'Pasleim': 1},0.19918681113820094,0.02857142857142857,0.04015103838892385,0.42750123011008817,137,lower
