editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Mbch331,504,0.75,0.5,0.02586206896551724,0.5,259,0.1588785046728972,1,"{'Cycn': 1, 'Pütz M.': 2}",0.7080500187421729,0.2905405405405405,0.7794697092772835,0.47110245424813035,47,lower
MisterSynergy,712,0.75,0.5,0.023872679045092837,0.5,247,0.1368421052631579,1,"{'Cycn': 1, 'Pütz M.': 2}",0.7522019935925779,0.27702702702702703,0.6708045908151139,0.46612756773210584,48,lower
Stryn,515,0.75,0.5,0.0033156498673740055,0.5,235,0.13515269655620532,1,"{'Cycn': 1, 'Pütz M.': 2}",0.7108083202259412,0.2635135135135135,0.6624738379612295,0.45817858923418464,49,lower
Wiki13,451,0.75,0.5,0.005305039787798408,0.5,204,0.12424849699398798,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6938572699179916,0.2286036036036036,0.6087034322278954,0.4515494034252144,50,lower
Pasleim,389,0.75,0.5,0.01790450928381963,0.5,189,0.11870255348516218,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6749719499043918,0.21171171171171171,0.581355470468557,0.45006844404658247,51,lower
VIGNERON,419,0.75,0.5,0.013925729442970823,0.5,183,0.11403508771929824,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6844581639486962,0.20495495495495494,0.5583394272876747,0.44792052094590823,52,lower
ValterVB,381,0.75,0.5,0.013262599469496022,0.5,183,0.11472011057360056,1,"{'Cycn': 1, 'Pütz M.': 2}",0.672318895115796,0.20495495495495494,0.5617173879167218,0.44734982954102054,53,lower
Wolverène,439,0.75,0.5,0.019230769230769232,0.5,172,0.10515873015873016,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6904129730310657,0.19256756756756757,0.5145686447792851,0.44585199149342813,54,lower
Mahir256,406,0.75,0.5,0.012599469496021221,0.5,172,0.10377358490566038,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6804334816469063,0.19256756756756757,0.5077382651780868,0.44368523799721066,55,lower
Quakewoody,570,0.75,0.5,0.022546419098143235,0.5,157,0.08816425120772947,1,"{'Cycn': 1, 'Pütz M.': 2}",0.7237730110202887,0.17567567567567569,0.43076606732204575,0.44230380530431296,56,lower
10.4.0.64,261,0.75,0.5,0.007957559681697613,0.5,160,0.1067457375833951,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6240511509365739,0.17905405405405406,0.5223944400280924,0.4393191968899782,57,lower
Peter James,351,0.75,0.5,0.01856763925729443,0.5,147,0.09550173010380623,1,"{'Cycn': 1, 'Pütz M.': 2}",0.661849413283648,0.16441441441441443,0.4669483854326651,0.439094859228716,58,lower
