editor,direct_sources_connected,combined_direct_transmission_probability,total_direct_weight_from_sources,degree
Nemo_bis,1,0.11099023459722435,2.0,49
Ayack,1,0.11099023459722435,2.0,46
Jarekt,1,0.11099023459722435,2.0,46
SCIdude,1,0.11099023459722435,2.0,40
Edgars2007,1,0.11099023459722435,2.0,31
Pamputt,1,0.11099023459722435,2.0,30
Rdmpage,1,0.11099023459722435,2.0,29
So9q,1,0.11099023459722435,2.0,29
99of9,1,0.11099023459722435,2.0,28
Jneubert,1,0.11099023459722435,2.0,27
Sjoerddebruin,1,0.11099023459722435,2.0,23
Pymouss,1,0.11099023459722435,2.0,21
Lucas Werkmeister,1,0.11099023459722435,2.0,17
Bouzinac,1,0.11099023459722435,2.0,15
Dancter,1,0.11099023459722435,2.0,15
Denny,1,0.11099023459722435,2.0,15
Azertus,1,0.11099023459722435,2.0,14
JAn Dudík,1,0.11099023459722435,2.0,14
PAC2,1,0.11099023459722435,2.0,13
Agabi10,1,0.11099023459722435,2.0,12
Atlasowa,1,0.11099023459722435,2.0,12
Deryck Chan,1,0.11099023459722435,2.0,12
HarryNº2,1,0.11099023459722435,2.0,12
Shlomo,1,0.11099023459722435,2.0,12
Inductiveload,1,0.11099023459722435,2.0,11
Mfchris84,1,0.11099023459722435,2.0,11
Louperivois,1,0.11099023459722435,2.0,10
Esquilo,1,0.11099023459722435,2.0,9
Kpjas,1,0.11099023459722435,2.0,9
Tfrancart,1,0.11099023459722435,2.0,9
Wallacegromit1,1,0.11099023459722435,2.0,9
YanikB,1,0.11099023459722435,2.0,9
Hogü-456,1,0.11099023459722435,2.0,8
MovieFex,1,0.11099023459722435,2.0,8
WiseWoman,1,0.11099023459722435,2.0,7
37.201.30.50,1,0.11099023459722435,2.0,6
&#42;Treker,1,0.11099023459722435,2.0,5
Sascha,1,0.11099023459722435,2.0,5
MSGJ,1,0.11099023459722435,2.0,4
Data Gamer,1,0.11099023459722435,2.0,3
Heron,1,0.11099023459722435,2.0,3
Tobias1984,1,0.05712685614512503,1.0,117
Marsupium,1,0.05712685614512503,1.0,76
Fnielsen,1,0.05712685614512503,1.0,72
Ymblanter,1,0.05712685614512503,1.0,55
Egon Willighagen,1,0.05712685614512503,1.0,52
Stryn,1,0.05712685614512503,1.0,51
Amadalvarez,1,0.05712685614512503,1.0,48
Aubrey,1,0.05712685614512503,1.0,42
DarTar,1,0.05712685614512503,1.0,39
Faendalimas,1,0.05712685614512503,1.0,38
Fractaler,1,0.05712685614512503,1.0,38
Mahir256,1,0.05712685614512503,1.0,35
Tubezlob,1,0.05712685614512503,1.0,33
Magnus Manske,1,0.05712685614512503,1.0,32
Kaldari,1,0.05712685614512503,1.0,30
Spinster,1,0.05712685614512503,1.0,30
--,1,0.05712685614512503,1.0,29
Lydia Pintscher (WMDE),1,0.05712685614512503,1.0,28
Sabas88,1,0.05712685614512503,1.0,26
Totodu74,1,0.05712685614512503,1.0,26
Titodutta,1,0.05712685614512503,1.0,25
Hannolans,1,0.05712685614512503,1.0,23
Was a bee,1,0.05712685614512503,1.0,23
Kopiersperre,1,0.05712685614512503,1.0,21
Liuxinyu970226,1,0.05712685614512503,1.0,21
Mike Peel,1,0.05712685614512503,1.0,21
Superchilum,1,0.05712685614512503,1.0,21
Père Igor,1,0.05712685614512503,1.0,20
El Caro,1,0.05712685614512503,1.0,18
MB-one,1,0.05712685614512503,1.0,18
Vojtěch Dostál,1,0.05712685614512503,1.0,18
Csisc,1,0.05712685614512503,1.0,17
FabC,1,0.05712685614512503,1.0,17
Lokal Profil,1,0.05712685614512503,1.0,17
Plantdrew,1,0.05712685614512503,1.0,17
Xaris333,1,0.05712685614512503,1.0,17
Dhx1,1,0.05712685614512503,1.0,16
Emu,1,0.05712685614512503,1.0,16
Termininja,1,0.05712685614512503,1.0,16
Edelseider,1,0.05712685614512503,1.0,15
Gymel,1,0.05712685614512503,1.0,15
Kcoyle,1,0.05712685614512503,1.0,14
Marianne Casamance,1,0.05712685614512503,1.0,14
